u2,ua
1.0,0.08
2.0,0.07
2.7,0.07
3.3,0.06
3.9,0.06
4.6,0.05
5.5,0.04
6.5,0.03
7.1,0.02
8.5,0.0
9.9,0.01
9.9,0.03
10.3,0.05
11.0,0.09
11.7,0.13
12.5,0.18
13.9,0.24
14.2,0.32
15.7,0.42
16.6,0.51
17.4,0.57
18.4,0.41
20.9,0.0
20.7,-0.02
21.6,-0.05
23.1,-0.03
23.5,0.02
23.9,0.2
25.1,0.8
26.0,1.27
27.3,1.86
28.1,2.23
29.1,2.56
30.2,2.93
31.6,3.26
32.0,3.33
32.5,3.43
33.6,3.57
34.3,3.61
35.5,3.0
36.4,2.48
37.1,1.99
38.2,1.22
38.7,0.93
39.2,0.64
39.8,0.46
40.9,0.32
41.2,0.55
42.3,0.67
43.3,1.13
43.8,1.32
44.7,1.85
45.6,2.34
46.3,2.82
47.1,3.29
47.6,3.67
48.2,4.03
48.9,4.47
49.5,4.92
50.0,5.5
51.4,5.96
52.5,6.15
53.4,6.16
54.4,5.92
55.2,5.96
56.6,5.18
57.7,4.97
58.5,4.8
60.0,4.81
60.8,4.86
61.5,5.07
63.1,5.72
63.6,6.15
64.6,6.91
65.5,7.8
66.1,8.33
67.3,10.56
68.1,12.04
69.2,12.65
70.1,12.65
70.8,12.65
71.7,12.65
72.8,12.65
74.2,12.65
76.6,12.65
78.8,12.65
