u2,ua
1.3,0.08
1.9,0.07
2.6,0.07
3.3,0.07
4.5,0.06
5.4,0.05
6.5,0.04
8.5,2.38
9.3,2.89
10.0,3.49
11.2,4.08
12.4,4.43
13.6,4.64
14.3,4.68
15.6,4.57
16.8,4.40
17.8,2.52
18.9,1.20
19.8,0.12
21.0,0.13
21.6,0.13
22.7,0.13
23.5,0.13
25.1,2.15
26.0,3.59
27.2,5.66
28.0,6.90
29.1,7.75
29.8,8.23
31.2,8.94
32.8,9.00
33.3,8.97
34.7,8.01
35.5,6.19
37.1,2.72
38.1,0.87
39.0,0.02
40.6,0.13
42.2,0.13
43.1,0.12
43.8,0.25
44.7,1.36
45.2,2.21
46.4,4.08
47.6,6.11
48.1,6.81
49.4,8.77
50.2,9.87
50.6,10.38
51.2,11.15
51.6,11.72
52.8,12.09
53.3,12.49
54.3,12.65
55.2,12.49
56.6,11.99
57.5,11.81
58.4,12.29
59.5,12.65
60.4,12.65
61.7,12.65
63.1,12.65
64.0,12.65
64.6,12.65
65.9,12.65
66.5,12.65
67.2,12.65
68.2,12.65
68.7,12.65
69.2,12.65
70.5,12.65
71.5,12.65
72.8,12.65
73.7,12.65
74.2,12.65
75.6,12.65
76.9,12.65
78.8,12.65
