Voltaje;Corriente
0.341;1
0.345;1
0.351;2
0.355;2
0.361;3
0.365;3
0.371;4
0.375;4
0.380;5
0.385;6
0.390;7
0.395;8
0.400;10
0.405;11
0.410;13
0.415;15
0.420;18
0.425;20
0.429;23
0.434;26
0.439;30
0.444;34
0.448;38
0.452;43
0.457;48
0.460;53
0.464;59
0.469;67
0.473;74
0.477;82
0.481;90
0.485;99
0.489;108
0.493;108
0.496;118
0.499;139
0.503;151
0.506;164
0.509;176
0.513;191
0.516;205
0.519;221
0.522;237
0.525;255
0.528;271
0.531;290
0.534;308
0.537;327
0.539;346
0.542;367
0.544;388
0.547;409
0.549;430
0.551;450
0.553;472
0.555;493
0.557;512
0.561;535
0.563;556
0.565;581
0.567;605
0.569;631
0.571;682
0.572;709
0.574;736
0.575;763
0.577;790
0.579;815
0.581;845
0.582;872
0.584;896
0.585;925
0.586;951
0.587;980
0.589;1008
0.590;1038
0.591;1066
0.593;1095
0.594;1125
0.595;1154
0.596;1183
0.597;1212
0.599;1237
0.6;1272
0.601;1303
0.602;1330
0.603;1360
0.604;1394
0.605;1423
0.606;1456
0.607;1487
0.608;1516
0.609;1547
0.610;1581
0.611;1616
0.612;1650
0.613;1684
0.614;1717
0.615;1750
0.616;1788
0.617;1820
0.618;1850
0.619;1918
0.620;1949
0.621;1983
0.622;2023
0.623;2084
0.624;2117
0.625;2150
0.625;2192
0.626;2227
0.627;2263
0.628;2296
0.629;2331
0.629;2361
0.630;2397
0.631;2432
0.632;2463
0.632;2498
0.633;2545
0.633;2572
